postcode,borough,crime_type,date,borough_risk_level,borough_crime_rate,training_text,risk_score,premium_multiplier
W1 3KZ,Westminster,Vehicle Crime,2023-08-13,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 3KZ)
Date: 2023-08-13 at 00:44
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 3KZ area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
IG11 2TS,Barking and Dagenham,Vehicle Crime,2023-01-07,Medium,82.3,"Crime Data: Vehicle Crime in Barking and Dagenham (IG11 2TS)
Date: 2023-01-07 at 01:31
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 82.3, Medium risk area, High time risk
Assessment: Vehicles in IG11 2TS area have medium theft risk due to 82.3 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.230000000000004,1.0
SW11 9FQ,Wandsworth,Vehicle Crime,2023-12-21,Medium,98.7,"Crime Data: Vehicle Crime in Wandsworth (SW11 9FQ)
Date: 2023-12-21 at 17:45
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 98.7, Medium risk area, Medium time risk
Assessment: Vehicles in SW11 9FQ area have medium theft risk due to 98.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.870000000000005,1.0
SE1 3ZT,Southwark,Vehicle Crime,2023-06-21,High,130.4,"Crime Data: Vehicle Crime in Southwark (SE1 3ZT)
Date: 2023-06-21 at 05:45
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 130.4, High risk area, High time risk
Assessment: Vehicles in SE1 3ZT area have high theft risk due to 130.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.04,1.2
HA3 1BF,Harrow,Vehicle Crime,2022-04-20,Low,66.8,"Crime Data: Vehicle Crime in Harrow (HA3 1BF)
Date: 2022-04-20 at 15:43
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 66.8, Low risk area, Medium time risk
Assessment: Vehicles in HA3 1BF area have low theft risk due to 66.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",27.68,0.8
WC1 2DZ,Camden,Vehicle Crime,2023-05-23,High,172.4,"Crime Data: Vehicle Crime in Camden (WC1 2DZ)
Date: 2023-05-23 at 17:59
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, Medium time risk
Assessment: Vehicles in WC1 2DZ area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",53.24,1.2
TW11 4KC,Richmond upon Thames,Vehicle Crime,2022-04-27,Low,60.7,"Crime Data: Vehicle Crime in Richmond upon Thames (TW11 4KC)
Date: 2022-04-27 at 23:46
Outcome: Under Investigation
Risk Factors: Borough crime rate 60.7, Low risk area, High time risk
Assessment: Vehicles in TW11 4KC area have low theft risk due to 60.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.07,0.8
SE14 2EY,Lewisham,Vehicle Crime,2021-10-06,Medium,92.8,"Crime Data: Vehicle Crime in Lewisham (SE14 2EY)
Date: 2021-10-06 at 09:15
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 92.8, Medium risk area, Medium time risk
Assessment: Vehicles in SE14 2EY area have medium theft risk due to 92.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.28,1.0
N16 7DW,Hackney,Vehicle Crime,2020-05-06,High,140.1,"Crime Data: Vehicle Crime in Hackney (N16 7DW)
Date: 2020-05-06 at 07:24
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 140.1, High risk area, Medium time risk
Assessment: Vehicles in N16 7DW area have high theft risk due to 140.1 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",50.01,1.2
UB10 7XG,Hillingdon,Vehicle Crime,2022-12-17,Low,70.2,"Crime Data: Vehicle Crime in Hillingdon (UB10 7XG)
Date: 2022-12-17 at 06:42
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 70.2, Low risk area, High time risk
Assessment: Vehicles in UB10 7XG area have low theft risk due to 70.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.019999999999996,0.8
W2 8SC,Westminster,Vehicle Crime,2023-03-27,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 8SC)
Date: 2023-03-27 at 02:18
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W2 8SC area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
W1 7QD,Westminster,Vehicle Crime,2024-12-27,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 7QD)
Date: 2024-12-27 at 06:59
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 7QD area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
SW12 2HB,Wandsworth,Vehicle Crime,2020-01-03,Medium,98.7,"Crime Data: Vehicle Crime in Wandsworth (SW12 2HB)
Date: 2020-01-03 at 04:32
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 98.7, Medium risk area, High time risk
Assessment: Vehicles in SW12 2HB area have medium theft risk due to 98.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.870000000000005,1.0
N17 7SX,Haringey,Vehicle Crime,2022-02-05,Medium,85.9,"Crime Data: Vehicle Crime in Haringey (N17 7SX)
Date: 2022-02-05 at 10:02
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 85.9, Medium risk area, High time risk
Assessment: Vehicles in N17 7SX area have medium theft risk due to 85.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.59,1.0
SE14 9WR,Lewisham,Vehicle Crime,2024-10-21,Medium,92.8,"Crime Data: Vehicle Crime in Lewisham (SE14 9WR)
Date: 2024-10-21 at 22:46
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 92.8, Medium risk area, High time risk
Assessment: Vehicles in SE14 9WR area have medium theft risk due to 92.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.28,1.0
SE6 5QW,Lewisham,Vehicle Crime,2024-01-29,Medium,92.8,"Crime Data: Vehicle Crime in Lewisham (SE6 5QW)
Date: 2024-01-29 at 01:38
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 92.8, Medium risk area, High time risk
Assessment: Vehicles in SE6 5QW area have medium theft risk due to 92.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.28,1.0
BR5 5DF,Bromley,Vehicle Crime,2024-12-24,Low,65.4,"Crime Data: Vehicle Crime in Bromley (BR5 5DF)
Date: 2024-12-24 at 05:45
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 65.4, Low risk area, High time risk
Assessment: Vehicles in BR5 5DF area have low theft risk due to 65.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.54,0.8
W14 6EX,Hammersmith and Fulham,Vehicle Crime,2023-01-09,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W14 6EX)
Date: 2023-01-09 at 05:52
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in W14 6EX area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
RM10 2MD,Barking and Dagenham,Vehicle Crime,2023-04-01,Medium,82.3,"Crime Data: Vehicle Crime in Barking and Dagenham (RM10 2MD)
Date: 2023-04-01 at 14:41
Outcome: Under Investigation
Risk Factors: Borough crime rate 82.3, Medium risk area, High time risk
Assessment: Vehicles in RM10 2MD area have medium theft risk due to 82.3 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.230000000000004,1.0
E16 6BY,Newham,Vehicle Crime,2021-06-17,High,128.9,"Crime Data: Vehicle Crime in Newham (E16 6BY)
Date: 2021-06-17 at 06:59
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E16 6BY area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
SW6 8FZ,Hammersmith and Fulham,Vehicle Crime,2023-10-25,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (SW6 8FZ)
Date: 2023-10-25 at 06:07
Outcome: Charged/Summonsed
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in SW6 8FZ area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
W6 2QH,Hammersmith and Fulham,Vehicle Crime,2021-03-26,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W6 2QH)
Date: 2021-03-26 at 22:33
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in W6 2QH area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
SE19 9UQ,Croydon,Vehicle Crime,2020-04-21,Low,79.8,"Crime Data: Vehicle Crime in Croydon (SE19 9UQ)
Date: 2020-04-21 at 06:44
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 79.8, Low risk area, High time risk
Assessment: Vehicles in SE19 9UQ area have low theft risk due to 79.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.980000000000004,0.8
SW7 2UY,Kensington and Chelsea,Vehicle Crime,2022-06-10,High,145.7,"Crime Data: Vehicle Crime in Kensington and Chelsea (SW7 2UY)
Date: 2022-06-10 at 06:36
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 145.7, High risk area, High time risk
Assessment: Vehicles in SW7 2UY area have high theft risk due to 145.7 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.57,1.2
SE9 8YB,Greenwich,Vehicle Crime,2020-08-21,Medium,95.4,"Crime Data: Vehicle Crime in Greenwich (SE9 8YB)
Date: 2020-08-21 at 07:52
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 95.4, Medium risk area, Medium time risk
Assessment: Vehicles in SE9 8YB area have medium theft risk due to 95.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.54,1.0
W1 7AS,Westminster,Vehicle Crime,2024-05-17,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 7AS)
Date: 2024-05-17 at 04:48
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 7AS area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
W1 7ZG,Westminster,Vehicle Crime,2021-05-22,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 7ZG)
Date: 2021-05-22 at 23:37
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 7ZG area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
W2 9VE,Westminster,Vehicle Crime,2023-03-13,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 9VE)
Date: 2023-03-13 at 16:18
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 349.9, Very High risk area, Medium time risk
Assessment: Vehicles in W2 9VE area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",65.0,1.3
HA0 9JG,Brent,Vehicle Crime,2024-05-10,Medium,90.5,"Crime Data: Vehicle Crime in Brent (HA0 9JG)
Date: 2024-05-10 at 23:27
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 90.5, Medium risk area, High time risk
Assessment: Vehicles in HA0 9JG area have medium theft risk due to 90.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.05,1.0
CR4 9BQ,Croydon,Vehicle Crime,2023-05-10,Low,79.8,"Crime Data: Vehicle Crime in Croydon (CR4 9BQ)
Date: 2023-05-10 at 02:08
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 79.8, Low risk area, High time risk
Assessment: Vehicles in CR4 9BQ area have low theft risk due to 79.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.980000000000004,0.8
E3 2BD,Tower Hamlets,Vehicle Crime,2023-10-01,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E3 2BD)
Date: 2023-10-01 at 11:58
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E3 2BD area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
W1 7LS,Westminster,Vehicle Crime,2024-09-14,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 7LS)
Date: 2024-09-14 at 02:24
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 7LS area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
TW1 1ZV,Richmond upon Thames,Vehicle Crime,2023-04-19,Low,60.7,"Crime Data: Vehicle Crime in Richmond upon Thames (TW1 1ZV)
Date: 2023-04-19 at 04:42
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 60.7, Low risk area, High time risk
Assessment: Vehicles in TW1 1ZV area have low theft risk due to 60.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.07,0.8
E6 1GM,Newham,Vehicle Crime,2023-07-22,High,128.9,"Crime Data: Vehicle Crime in Newham (E6 1GM)
Date: 2023-07-22 at 11:10
Outcome: Under Investigation
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E6 1GM area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
RM9 7LJ,Barking and Dagenham,Vehicle Crime,2020-10-04,Medium,82.3,"Crime Data: Vehicle Crime in Barking and Dagenham (RM9 7LJ)
Date: 2020-10-04 at 04:12
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 82.3, Medium risk area, High time risk
Assessment: Vehicles in RM9 7LJ area have medium theft risk due to 82.3 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.230000000000004,1.0
HA2 3LF,Harrow,Vehicle Crime,2024-10-21,Low,66.8,"Crime Data: Vehicle Crime in Harrow (HA2 3LF)
Date: 2024-10-21 at 11:51
Outcome: Under Investigation
Risk Factors: Borough crime rate 66.8, Low risk area, Medium time risk
Assessment: Vehicles in HA2 3LF area have low theft risk due to 66.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",27.68,0.8
N4 3EQ,Islington,Vehicle Crime,2022-08-10,High,138.2,"Crime Data: Vehicle Crime in Islington (N4 3EQ)
Date: 2022-08-10 at 05:52
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 138.2, High risk area, High time risk
Assessment: Vehicles in N4 3EQ area have high theft risk due to 138.2 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.82,1.2
W1 3ZL,Westminster,Vehicle Crime,2022-05-14,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 3ZL)
Date: 2022-05-14 at 04:31
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 3ZL area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
N12 4GR,Barnet,Vehicle Crime,2022-08-29,Low,68.5,"Crime Data: Vehicle Crime in Barnet (N12 4GR)
Date: 2022-08-29 at 01:28
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 68.5, Low risk area, High time risk
Assessment: Vehicles in N12 4GR area have low theft risk due to 68.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.85,0.8
SW12 8RY,Wandsworth,Vehicle Crime,2024-08-23,Medium,98.7,"Crime Data: Vehicle Crime in Wandsworth (SW12 8RY)
Date: 2024-08-23 at 05:14
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 98.7, Medium risk area, High time risk
Assessment: Vehicles in SW12 8RY area have medium theft risk due to 98.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.870000000000005,1.0
W7 9RE,Ealing,Vehicle Crime,2023-05-20,Medium,88.2,"Crime Data: Vehicle Crime in Ealing (W7 9RE)
Date: 2023-05-20 at 02:35
Outcome: Under Investigation
Risk Factors: Borough crime rate 88.2, Medium risk area, High time risk
Assessment: Vehicles in W7 9RE area have medium theft risk due to 88.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.82,1.0
N1 8CL,Islington,Vehicle Crime,2020-05-28,High,138.2,"Crime Data: Vehicle Crime in Islington (N1 8CL)
Date: 2020-05-28 at 03:41
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 138.2, High risk area, High time risk
Assessment: Vehicles in N1 8CL area have high theft risk due to 138.2 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.82,1.2
E8 3YW,Hackney,Vehicle Crime,2020-09-30,High,140.1,"Crime Data: Vehicle Crime in Hackney (E8 3YW)
Date: 2020-09-30 at 01:02
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 140.1, High risk area, High time risk
Assessment: Vehicles in E8 3YW area have high theft risk due to 140.1 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.01,1.2
E1 7QD,Tower Hamlets,Vehicle Crime,2021-08-15,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E1 7QD)
Date: 2021-08-15 at 23:23
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E1 7QD area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
E12 2RD,Newham,Vehicle Crime,2024-10-14,High,128.9,"Crime Data: Vehicle Crime in Newham (E12 2RD)
Date: 2024-10-14 at 07:00
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 128.9, High risk area, Medium time risk
Assessment: Vehicles in E12 2RD area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",48.89,1.2
SE13 8WE,Lewisham,Vehicle Crime,2020-07-14,Medium,92.8,"Crime Data: Vehicle Crime in Lewisham (SE13 8WE)
Date: 2020-07-14 at 06:26
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 92.8, Medium risk area, High time risk
Assessment: Vehicles in SE13 8WE area have medium theft risk due to 92.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.28,1.0
E15 1UT,Newham,Vehicle Crime,2024-07-05,High,128.9,"Crime Data: Vehicle Crime in Newham (E15 1UT)
Date: 2024-07-05 at 22:25
Outcome: Under Investigation
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E15 1UT area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
HA9 8CM,Brent,Vehicle Crime,2024-09-12,Medium,90.5,"Crime Data: Vehicle Crime in Brent (HA9 8CM)
Date: 2024-09-12 at 11:39
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 90.5, Medium risk area, Medium time risk
Assessment: Vehicles in HA9 8CM area have medium theft risk due to 90.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.05,1.0
TW6 2BC,Hounslow,Vehicle Crime,2022-10-27,Low,74.9,"Crime Data: Vehicle Crime in Hounslow (TW6 2BC)
Date: 2022-10-27 at 05:20
Outcome: Under Investigation
Risk Factors: Borough crime rate 74.9, Low risk area, High time risk
Assessment: Vehicles in TW6 2BC area have low theft risk due to 74.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.49,0.8
E3 4QS,Tower Hamlets,Vehicle Crime,2021-12-26,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E3 4QS)
Date: 2021-12-26 at 17:33
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E3 4QS area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
E10 7FJ,Waltham Forest,Vehicle Crime,2022-05-14,Medium,86.7,"Crime Data: Vehicle Crime in Waltham Forest (E10 7FJ)
Date: 2022-05-14 at 03:32
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 86.7, Medium risk area, High time risk
Assessment: Vehicles in E10 7FJ area have medium theft risk due to 86.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.67,1.0
NW5 5GJ,Camden,Vehicle Crime,2023-08-05,High,172.4,"Crime Data: Vehicle Crime in Camden (NW5 5GJ)
Date: 2023-08-05 at 06:05
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, High time risk
Assessment: Vehicles in NW5 5GJ area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",63.24,1.2
UB1 3UJ,Ealing,Vehicle Crime,2022-01-29,Medium,88.2,"Crime Data: Vehicle Crime in Ealing (UB1 3UJ)
Date: 2022-01-29 at 09:44
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 88.2, Medium risk area, High time risk
Assessment: Vehicles in UB1 3UJ area have medium theft risk due to 88.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.82,1.0
RM8 5BL,Barking and Dagenham,Vehicle Crime,2022-01-02,Medium,82.3,"Crime Data: Vehicle Crime in Barking and Dagenham (RM8 5BL)
Date: 2022-01-02 at 01:10
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 82.3, Medium risk area, High time risk
Assessment: Vehicles in RM8 5BL area have medium theft risk due to 82.3 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.230000000000004,1.0
DA6 2HV,Bexley,Vehicle Crime,2022-06-02,Low,63.9,"Crime Data: Vehicle Crime in Bexley (DA6 2HV)
Date: 2022-06-02 at 06:44
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 63.9, Low risk area, High time risk
Assessment: Vehicles in DA6 2HV area have low theft risk due to 63.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.39,0.8
SW2 5JP,Lambeth,Vehicle Crime,2024-04-06,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SW2 5JP)
Date: 2024-04-06 at 04:56
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SW2 5JP area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
SE14 2HL,Lewisham,Vehicle Crime,2021-11-08,Medium,92.8,"Crime Data: Vehicle Crime in Lewisham (SE14 2HL)
Date: 2021-11-08 at 04:11
Outcome: Under Investigation
Risk Factors: Borough crime rate 92.8, Medium risk area, High time risk
Assessment: Vehicles in SE14 2HL area have medium theft risk due to 92.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.28,1.0
N4 8AH,Haringey,Vehicle Crime,2020-03-28,Medium,85.9,"Crime Data: Vehicle Crime in Haringey (N4 8AH)
Date: 2020-03-28 at 12:13
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 85.9, Medium risk area, High time risk
Assessment: Vehicles in N4 8AH area have medium theft risk due to 85.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.59,1.0
SW17 5KM,Wandsworth,Vehicle Crime,2021-05-06,Medium,98.7,"Crime Data: Vehicle Crime in Wandsworth (SW17 5KM)
Date: 2021-05-06 at 17:37
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 98.7, Medium risk area, Medium time risk
Assessment: Vehicles in SW17 5KM area have medium theft risk due to 98.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.870000000000005,1.0
NW1 9YN,Camden,Vehicle Crime,2022-06-20,High,172.4,"Crime Data: Vehicle Crime in Camden (NW1 9YN)
Date: 2022-06-20 at 00:39
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, High time risk
Assessment: Vehicles in NW1 9YN area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",63.24,1.2
E3 4YV,Tower Hamlets,Vehicle Crime,2024-06-05,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E3 4YV)
Date: 2024-06-05 at 00:03
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E3 4YV area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
HA2 4XU,Harrow,Vehicle Crime,2020-04-11,Low,66.8,"Crime Data: Vehicle Crime in Harrow (HA2 4XU)
Date: 2020-04-11 at 22:36
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 66.8, Low risk area, High time risk
Assessment: Vehicles in HA2 4XU area have low theft risk due to 66.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.68,0.8
TW2 5CH,Richmond upon Thames,Vehicle Crime,2024-01-15,Low,60.7,"Crime Data: Vehicle Crime in Richmond upon Thames (TW2 5CH)
Date: 2024-01-15 at 05:10
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 60.7, Low risk area, High time risk
Assessment: Vehicles in TW2 5CH area have low theft risk due to 60.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.07,0.8
SE11 5GM,Lambeth,Vehicle Crime,2022-12-03,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SE11 5GM)
Date: 2022-12-03 at 07:08
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SE11 5GM area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
SW1 9CR,Westminster,Vehicle Crime,2021-05-23,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (SW1 9CR)
Date: 2021-05-23 at 00:47
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in SW1 9CR area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
N9 2ME,Enfield,Vehicle Crime,2022-09-21,Low,76.4,"Crime Data: Vehicle Crime in Enfield (N9 2ME)
Date: 2022-09-21 at 05:17
Outcome: Under Investigation
Risk Factors: Borough crime rate 76.4, Low risk area, High time risk
Assessment: Vehicles in N9 2ME area have low theft risk due to 76.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.64,0.8
SE16 7RF,Southwark,Vehicle Crime,2022-10-08,High,130.4,"Crime Data: Vehicle Crime in Southwark (SE16 7RF)
Date: 2022-10-08 at 01:59
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 130.4, High risk area, High time risk
Assessment: Vehicles in SE16 7RF area have high theft risk due to 130.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.04,1.2
