token_id,contract_address,owner_wallet_address,make,model,year,vin,registration_number,category,current_value,original_value,postcode,area,area_risk_level,mint_date,mint_transaction_hash,last_transfer_date,last_transfer_hash,metadata_ipfs_hash,blockchain,token_standard,insurance_risk_score,monthly_premium_estimate,coverage_recommended,ownership_verified,vin_verified,dvla_verified,mileage,fuel_type,transmission,color,doors,total_transfers,policy_count,claims_count,last_valuation_date,created_at,updated_at
116,0x891b24e4083f43fd0f50598f46d6593965397322,0x7d6c782d2a41cf5329e51dc3587a3a545d2f9909,McLaren,P1,2001,WBA018215623562,AB01 CUV,supercar,108142,800000,TW9 3AJ,Richmond,low,2024-03-06,0x919faa8da9eec33585dac6612c688f0b427165c9ce057e35249a6cec21a475cc,2023-04-12,0xbfed106d1c87be05a4be1b1a54b6ba5e48d3126ae940d468b742cc2264b63993,Qm6KcFKW6ndXGCCmtaPJg5wAonXip57tqhv7x4jY7mBvkR,BlockDAG,ERC-721,91.5,23,comprehensive,True,False,False,76343,Hybrid,Manual,White,4,1,0,0,2024-01-29,2024-03-06,2023-04-12
117,0x92b457e4961b73df025e3120d43f16c1343ffe42,0x6ef467e75f79a48390094a17e7e5a748dac88272,Audi,A8,2006,WAU060096590273,CD06 ZXK,premium,10255,50000,TW9 4CL,Richmond,low,2021-05-28,0x331baade0789670ddbb45385f90fe553ffe1b472994fbed2a18fab7120f512ef,2023-11-12,0x2906a0035648448c3bb6e01b944f974403fd336c8d5c91f1bd1c3103efd3a57b,QmNQ2egivsUy8tJPoyAFRyRQMWVt42P5h9RuGg5C3tUk7Y,BlockDAG,ERC-721,60.5255,1,standard,True,True,False,59623,Petrol,Automatic,Grey,3,3,2,1,2024-05-04,2021-05-28,2023-11-12
118,0xc57be7f5e7e1b9d67e489cb7d5beab1bf2f982cb,0x62418f267aff4175ebb5174b21c226fb326faaa0,Mercedes,S-Class,2000,WDD007744383152,EFC HVY,luxury,5596,45000,CR0 9BY,Croydon,medium,2024-11-16,0x7e7ddc2f8e382e1df25f148fde68091ee388a127ebeeb8658fca389557b1a202,2023-04-20,0x4f56cc9cef98a28ec0fccd9443e3e8ed55dbaa4cdb9e7d557e324751abd864fc,QmDAmHaT5rJcGb3WoFRk7e1rrzXip6wve69LHGAdHPGEbW,BlockDAG,ERC-721,78.0596,1,standard,False,True,False,96554,Hybrid,Manual,Blue,3,3,2,0,2023-05-29,2024-11-16,2023-04-20
119,0x53092a1710966a8c98658b9c550afc4c789f0985,0x199fd1b9c3ee98fc5dd33e286141a111dae4dd18,Toyota,Prius,2000,WBA001137496521,DEA MHH,standard,1492,12000,CR0 3PS,Croydon,medium,2023-12-05,0xcae9718919baac4281888958568c19536066fc9d812b89dc0a1693c44d44a954,2024-10-31,0x5c667df7808d4f28b49ae4e8ac5e37fe5bfbaa4a943b10a731ac54bf8c1fc521,Qm7JkwUNvyzwqAeoe417sbya2aA278Xp4Z1h3a8cAMhi7Z,BlockDAG,ERC-721,52.6492,0,standard,True,False,True,149148,Hybrid,Manual,Blue,4,4,2,1,2024-03-04,2023-12-05,2024-10-31
120,0x01083da24853490c28d96b266927fdb23bd855eb,0xfd21cf40c8bbc44e11b11823c3309bb9dc5d3093,Ford,Mustang,2009,WBA094987768721,AB09 TAO,standard,6584,25000,SW1 7FY,Westminster,very_high,2021-06-22,0x4a3ae079518dec559be6f06c4d18628dc7305c5f93ea056e16882e187bf96e81,2024-06-21,0x1f28a861ce16337d48fdb51e8501303f3e9d2109d2caa3baaf8e86be7d969f0c,Qm5HqGrsQM6YfBKuHGR3byzMNc41oERz5cbpHBsoHBd9Gn,BlockDAG,ERC-721,58.6584,1,standard,True,True,False,114019,Petrol,Automatic,Red,2,1,1,0,2024-06-01,2021-06-22,2024-06-21
121,0x01083da2b339405be99f1120032b8528d77b49b3,0xdb70c947554489029a7f53f08cf6ca50f1ada7c6,Ford,Focus,2000,WBA003902927453,EFC IVD,standard,994,8000,N1 3LL,Islington,medium,2024-12-02,0x219c11cdf1f2fe462b9576ab77fed32eabd42df28ae055ce586848e00f3beb65,2024-12-07,0xef4164397146f96043dc36b58531ab682b0bd0c3cde329868b7dde96eb3b6b16,Qm5SrbEwELrnnuwuyLaWPSwu88i9Xptop82xvPBSQdjkGh,BlockDAG,ERC-721,52.5994,0,standard,False,True,False,121984,Diesel,Automatic,White,3,1,2,1,2024-11-06,2024-12-02,2024-12-07
122,0x79351440b68308e0724c68ce4c91b6f7f10d3ede,0x905fafd74d29d8348ea2e1e8a019e5e275dc8b24,Lamborghini,Gallardo,2016,WBA166039353446,CD16 UHG,supercar,70824,150000,SE1 4RL,Southwark,medium,2023-08-22,0xf33698d5095adec1185f790bb97ac5cc17a34d3c7c9bd5deec1bb117e6a04fb8,2023-01-01,0x80fcfe93a32b46eb9a71ddf15364f21bcfb5be065e5e92ad67ba08b96919cef7,QmRiA9ZPf8Jycg6bqHbyTcJPFKwLH4d56h4hvCLEMpLB6u,BlockDAG,ERC-721,89.0,21,comprehensive,True,True,False,99007,Petrol,Automatic,Black,3,1,2,1,2023-10-12,2023-08-22,2023-01-01
123,0x53092a17e6a44243be7a79a225fd621bca291834,0xb3541d0e38dbcb8d3f2e5c9da57233b0d91bcff0,Toyota,Camry,2013,WBA133537744477,CD13 FFF,standard,5514,15000,TW9 3KG,Richmond,low,2021-06-28,0x44d32a564b46dc0ba8ab7cac87be2702111491b7d41e6131f2b901431b38265a,2024-01-30,0xd4018c5ac50c3554dca5fa6997c52c0c5138005c8f5d592e90a18cb51562636e,Qm8CTEepNMcqgpE9Fx4qVieas8Pw2SBHuUE8vz5QjB2wmn,BlockDAG,ERC-721,41.5514,0,standard,True,True,False,24305,Electric,Manual,Black,5,2,2,1,2024-03-04,2021-06-28,2024-01-30
124,0xfac8f46f166d716890516851b659e3bbf437bd55,0xb0e239d0b3c5f8898cb9612e2461c573ffe7f149,Jaguar,F-Type,2001,SAJ011022368081,EF01 NPP,luxury,4055,30000,N1 8VA,Islington,medium,2022-04-26,0x8f3be2f461b9a03954af845247e2706ee3c885cb4e5715527d3453717d8f00f2,2023-01-07,0xb55664389f073b62115cc4d4b261d09a817f6f6b63e6e7ccaca09595e52a75ed,QmwhmD9mW1nTvfH4XsYhh4xXzKWwCVMk9wtRp1uYeAf5AT,BlockDAG,ERC-721,78.0055,1,standard,False,True,False,145802,Diesel,Manual,Blue,3,4,2,1,2024-01-08,2022-04-26,2023-01-07
125,0xc57be7f5fff735ddb15046385c157442fe02f9fc,0x869001d40689b4c9fa6084ec963f1264baca2c10,Mercedes,AMG GT,2000,WDD006974397544,ABB TTF,luxury,11192,90000,SW3 4LG,Chelsea,high,2022-10-02,0xb67b5c048481ed029621a307cbcde87f9dadfdba18fa9b4b47f279eeddf6a02b,2023-04-02,0xee867ca5d56fabe0926d8bb84c2682d0d60d4dd9c014d0a9e05deabbfcf96502,Qmw9tmNKXmxUpF5LdYcb8tfAy6CMgtoXYyS2JWjiVp59BX,BlockDAG,ERC-721,83.6192,3,standard,True,False,False,83611,Diesel,Automatic,Black,3,5,2,1,2023-01-15,2022-10-02,2023-04-02
126,0x793514409e853c5ef8a0a225ef66072c77ca9b0c,0x2b7eebecddc3cba3b2ca3d700d6818665aab145a,Lamborghini,Huracan,2010,WBA105802792506,DE10 VUL,supercar,51533,180000,SW1 7JR,Westminster,very_high,2021-07-06,0xd676588ba983e613ce2e92d7071732117bb876166a95ce8fadc2c30424ecee97,2024-01-24,0x064e3f26acc3601016b700a068c5c486182071192af2fcb7a89a774fb44ebe4c,QmgfFvug5jWRQ5ZtfEEE41jMFJfkanrWVq3Lyyn48V8Hpd,BlockDAG,ERC-721,95.0,22,comprehensive,True,True,True,52677,Petrol,Manual,Grey,5,1,0,1,2023-05-07,2021-07-06,2024-01-24
127,0xfac8f46fc4efc34bce96c2dbd1702d5ce1fa9ebc,0x63de537e6b5b08ff18ae39077f4033775a401297,Jaguar,F-Type,2020,SAJ201598494903,BC20 GNW,luxury,19772,30000,E1 8WX,Tower Hamlets,high,2022-11-26,0x88161122f8c2f7a61c9e579788ff279b9256d21eb5e38374528686de3372df1f,2024-01-10,0x8bd556bcfb27e0638adcef6e19abd7fbf3bd3037505a0b96b34ee400023dcd92,QmSwDCBihcuVNkTBaowbqN368ano7XCR7CsfMXee2uvMmU,BlockDAG,ERC-721,86.4772,6,standard,True,False,False,95091,Electric,Manual,White,4,1,2,1,2023-03-08,2022-11-26,2024-01-10
128,0xe697147281994ae7f85c698810e802f8f60dc731,0x4ff105ba1ed1b2179248d84579edecb7a5e779e7,Aston Martin,DB5,2016,SCFAB164051595621,EF16 QZK,luxury,23608,50000,CR0 2GF,Croydon,medium,2022-09-27,0xf63fa560101759aa72bc5f405d97a07a70d09803978f4f3f85aba4de1e0c855c,2023-08-17,0x06672af3109ff519b68e13f5bb88c18a0c202472f27b0cb3628b1b592017908d,Qm9ifNrVG57Fitk2qrMA64RiuNtg5U1fasNZEGhBHLLqMP,BlockDAG,ERC-721,81.46079999999999,6,standard,True,False,False,43761,Electric,Manual,Red,5,2,1,0,2024-01-18,2022-09-27,2023-08-17
129,0xc57be7f5ee3ad3b75bbbf81b4a73eb5ee3dc6b32,0x335061996031b76507512ace7d58ce6142c7ef44,Mercedes,AMG GT,2004,WDD043212421276,CD04 KRP,luxury,15623,90000,SW1 6FU,Westminster,very_high,2024-08-29,0x4aa5d814c989b268164f2556f6a0b456fa25a6571a9b1551c5811efab44dee93,2024-11-06,0x28c0e956d869bd6f1b74a59416cbb56f7044f494179ee0326cd72f4a5dde6df5,Qm3mue2HL8WyxqR3dGmfH37fiYMQ69qqLrAv642nc5mZkt,BlockDAG,ERC-721,89.4623,6,standard,True,False,False,21135,Hybrid,Manual,Red,2,2,1,1,2023-10-18,2024-08-29,2024-11-06
130,0x53092a178ec81ed9c61f82f2f8c315b11eaa2276,0xe61be71929750980fb081df0b9dfda66837429dc,Toyota,Corolla,2011,WBA113999332546,BC11 RPR,standard,3111,10000,W1 1LG,Mayfair,high,2024-08-02,0xf914e3f6af7d4c8b4774352fd32835975522491f30de899e82ffe412c149959f,2024-01-21,0xe923ebf3ca28aa83a35558acae4ad496bd882e7262ac114ff07c3786bbae7c95,Qm9wQPPAJXMr8GMjFqPpruqA9AWAuSvhGXJDbbjdZkRXbe,BlockDAG,ERC-721,52.3111,0,standard,True,True,True,25236,Hybrid,Automatic,Silver,4,1,0,1,2023-12-06,2024-08-02,2024-01-21
131,0x6c5b90ce5c797d3db8d0a4cbcdcb0cd9b9f0d41b,0x6de55986604a0a4cc9060744aa30dc0fb34dcbf2,Ferrari,F40,2003,ZFF035063654517,EF03 IUR,supercar,31942,200000,CR0 2JT,Croydon,medium,2020-09-28,0x7aa3e52bf16ee18189a1a245ca8204eede2df353b52f9a02aeb01bce4605a2c0,2023-01-13,0x7ed67201ad5b3a0dbc9dd65dfe72e7b9c10a78ca0ef94d6e5ecd078af88b4809,QmEk8kfAKdte6kWfHWQbZnMxzr7VUXwrFxGgd7xrg35zb8,BlockDAG,ERC-721,94.1942,10,comprehensive,True,True,False,84693,Petrol,Automatic,Red,3,5,0,0,2023-10-10,2020-09-28,2023-01-13
132,0x53092a17bd098214b49e55ee511fda99f4ca2577,0x3ef61912b012633e956f1079eda5426f4466a140,Toyota,Camry,2019,WBA198481294998,EF19 KFG,standard,9095,15000,SE1 8XT,Southwark,medium,2020-11-04,0xd3f916a20a486098d7349214934b1a3df01d5c5def8e3b05670f17a50178586b,2023-09-15,0x4baf67b7c2281b9883ef834d9cfa287c89204636eb9346454a85de4037b3b340,Qm3HZsUA9K9X1LCgA5J62eKEMNJ4CPv8gaRjfYyQR1Dry9,BlockDAG,ERC-721,43.9095,1,standard,True,False,True,15988,Hybrid,Manual,Red,2,1,1,0,2023-09-03,2020-11-04,2023-09-15
133,0xe697147262a4139c5694cda63ec1eafc66e80011,0x9b99285442252d942d85f764d633015ecfe20fdc,Aston Martin,DB9,2010,SCFAB102911903288,BC10 RNY,luxury,21472,75000,CR0 6JO,Croydon,medium,2021-07-17,0x77b497071e5a643a8f752c728423f41fbfd837c0adf70c6084b695ebe70a9a76,2023-07-19,0x379f828733c70562c920ad4b23d498db968658fa0f2753310b530b52f6133593,Qm3GxiJeD1Mcxr1Mzq1tkALyaXta3fhjwtCQVNigbvTL8x,BlockDAG,ERC-721,80.6472,5,standard,False,False,True,108065,Petrol,Manual,Silver,2,5,1,0,2024-12-08,2021-07-17,2023-07-19
134,0x793514405a6f5d7921d84c315da9664601112fdb,0xc82a9d81bd5998724785b874b2e8ba56cfa4b0b9,Lamborghini,Aventador,2001,WBA017219219998,EF01 UHV,supercar,33794,250000,SW1 2ON,Westminster,very_high,2021-01-30,0xe434396a9756a3d555fe67bc4a1b6601e12f8bcd3ed4be1d56f4adde20294b4d,2023-02-10,0x7c24ea5db516f4a68da20ddcb5dfbc68e4319d4c39c061f8183d5eca72acdb7d,Qm6FhD1ZmaJTBeNqznq6uH7TT9rZg329RBBaDnTSjuUmAX,BlockDAG,ERC-721,95.0,14,comprehensive,True,True,True,117536,Diesel,Manual,Black,2,5,1,0,2024-06-06,2021-01-30,2023-02-10
135,0xe69714728babd50edb97fa87b4707e72fabd37ed,0x2cad5079147a709033e491fd63fe1ebbb1faec50,Aston Martin,DBS,2024,SCFAB245100273401,DE24 GGV,luxury,78200,85000,TW9 6ML,Richmond,low,2024-09-01,0x7027423d5bded8ea82d0a35c88a040039d73af444d52f3ba912afdaafb47e11f,2023-10-04,0xdb09cd23dee96519ead79cae45af11b053dbc639aed2f3f7a527fef763ae407a,Qme8Y2inSydNcxdzBnPoGnN4aU2AuXVErKSwrkTtP5SiGH,BlockDAG,ERC-721,79.4,14,comprehensive,True,False,True,119908,Hybrid,Manual,White,4,4,1,1,2023-03-17,2024-09-01,2023-10-04
136,0xe69714729f74d808d8ea2eb85a4c3ec29fe1e6c7,0x69ec6dd470d54cf5e9d4f0e2c149c5d883d2e743,Aston Martin,Vantage,2011,SCFAB111471995117,DE11 INX,luxury,14003,45000,SW3 4QF,Chelsea,high,2020-01-10,0xc68f115f348b3f0e7b51ad7cd0306adf0055a8cc949dbb1ca28e063ce49b6340,2024-02-29,0x9810661a76ed689ce36057cb23249e4bbbdf2e12f34dfb0d3a32ef4cc960ee08,Qm3gCpYkFmEXNd8cyNc6ZqHHnCTWTKWWBB9eZ4YoQo99HK,BlockDAG,ERC-721,85.0003,4,standard,False,True,True,18743,Electric,Automatic,Grey,4,1,2,1,2023-07-01,2020-01-10,2024-02-29
137,0x92b457e489638e9cd57efec7271ca01a42adfb1d,0xe19c93d87066446f46341c2a4606f57d2af02cad,Audi,R8,2010,WAU100295659831,DE10 FKP,premium,24335,85000,SE1 1BL,Southwark,medium,2022-04-21,0x3c6b61b692a055abb74e40d5485570cfc06c4d33672ffbab6839d245127d3961,2023-10-22,0xf077775f865796cc383afc7107ee64aebc8151ed42194cc9b4de12a1c135c2ce,Qm8mNhxUDmVqUpws9yL1QcM31JepGMqfEsLAu45BvP4PWg,BlockDAG,ERC-721,64.9335,5,standard,True,False,False,141268,Electric,Manual,Silver,2,2,0,1,2023-07-01,2022-04-21,2023-10-22
138,0xbada04e25b8863272839c3acdb5c76eb1216b6dc,0x608e5a7fd84863783d892a190a3d464c665b0e7f,Volkswagen,Passat,2024,WBA244450337955,CD24 VIA,standard,13800,15000,SE1 2JM,Southwark,medium,2024-07-31,0xad671f986cb44162f3cf9cf67c39a6fcd9696f4a2c2d4607f6acbc63f04c9c35,2023-06-19,0x86edb66e3350e2382188d18879d119a48586679cf67a780054fb3477ab6b20c6,Qm6ckN4hA3W2G95RVPKA3RFc837K9TZMStkD3ye6mfhjjp,BlockDAG,ERC-721,41.88,1,standard,False,False,True,33444,Hybrid,Manual,Black,3,2,1,1,2024-04-01,2024-07-31,2023-06-19
139,0x6c5b90ce7ff32a27eeefd82457bdc070b78ab806,0x7a9ec99e9dcbe463ea7b8b4faf8a018b93e05ce1,Ferrari,488,2006,ZFF065046415064,DE06 SVN,supercar,36918,180000,TW9 1QU,Richmond,low,2023-08-26,0x95fc9747baacc963c39d9c4ccb32399707b6af5fd0485e3b159c1a1d926964d1,2024-05-03,0x6ed9152cfe4a1f189fbcbc868f401a35f246db4787b53c3d4d141ae94fc746bb,Qms8h9P5s6FEBLXc9AWFqoymRjziVxq82LBEZio5hxe22J,BlockDAG,ERC-721,88.1918,7,comprehensive,True,True,True,137923,Diesel,Automatic,White,4,5,2,0,2024-02-05,2023-08-26,2024-05-03
140,0xfac8f46f785247f99974a761581def2f634f9fe9,0x58ec95ef960d96db544df808a14bf6c5ba946dea,Jaguar,F-Type,2014,SAJ149880288970,EF14 XTQ,luxury,11989,30000,SW11 5UT,Wandsworth,low,2023-06-11,0x53541a37cc59774a9cd5a094665f13efc4df69df75a8fd67604e6c0b8d9e317d,2023-04-06,0xd1b6560102f274cdf3946ffbc6a3b69992cd316333d35cd7a88544b890f61be7,QmDVDogrGy67QSbd9ANgWarSP6qjugxKXW1AFfFtsGeh9Q,BlockDAG,ERC-721,75.0989,2,standard,True,True,False,50456,Electric,Automatic,White,2,3,1,1,2023-01-12,2023-06-11,2023-04-06
141,0x53092a17c7221d2e94665e5537cfbca8b3dea655,0xc11c79d671cabe18c44e757366fc8f68d808264d,Toyota,Camry,2001,WBA015519438297,AB01 UPE,standard,2027,15000,EN1 8ED,Enfield,medium,2020-01-18,0x062e668058e8865b819494a8cf214a713e4f33dd68c4f202e16edca0f9025cf4,2023-05-27,0xd795b4f36cb830161d1f5229db9601def9794a1795330a0b84ac461cbdca80e0,Qm1LWc2X2AtCDS1YSEocm5AcKw5uKkC3SQNDJA4nsYJpP6,BlockDAG,ERC-721,52.2027,0,standard,True,False,True,102671,Petrol,Automatic,Silver,5,2,1,1,2023-09-08,2020-01-18,2023-05-27
142,0x6c5b90ceae529b7567d55edcf79d12077b04b72f,0x3130bc2aedbca162083ec8ec6307aa2383a079ea,Ferrari,F8,2009,ZFF092236426383,AB09 XZM,supercar,57946,220000,SW3 3FY,Chelsea,high,2020-07-17,0xac0c3929a6f3ae560a0d240407d0a3881cba3e67b98c0b27bb9983d798f3f0e1,2024-11-01,0xf6ca397535dfd34cfeb7cad8212bf5b5687fe8c80017de294f2a1ccc32d994a8,QmSWS299GFjXVQWK4eMozkNJc4m9ZUandyVkLbFW4cRipy,BlockDAG,ERC-721,95.0,22,comprehensive,True,True,True,40241,Diesel,Manual,Black,2,5,0,0,2024-03-04,2020-07-17,2024-11-01
143,0xfac8f46fea638d957cec4cc671aec7d084faf09f,0x9a9a896c9d405d41dfb5cf92d7d8eed523e08372,Jaguar,F-Pace,2002,SAJ020157870558,EF02 XSK,luxury,5142,35000,TW9 3OR,Richmond,low,2020-09-07,0x25e9323440cdc6cbbc8c09212a1dd2973f4c213b5b82a4f4e990dac42b57376a,2024-08-16,0x81ec0697e1b1e45e8531b8731e137ac82ac6b9e5734290687e04aa9fe9b2ec53,QmJw8sNiWbTH3AUqzh2tTojkNQh7xFrSABoDQjLVguyw15,BlockDAG,ERC-721,73.2142,0,standard,True,False,True,34112,Petrol,Automatic,Red,2,1,0,0,2023-12-03,2020-09-07,2024-08-16
144,0xbada04e2f955a2ce969a581f38cebb46f7a32d5d,0xa0222d8470056abaf653fee9bf0cb0808096c408,Volkswagen,Passat,2007,WBA070861996373,CD07 BYY,standard,3344,15000,EN1 5OW,Enfield,medium,2024-04-18,0x5c19056a0c7f00a9a588591893d7330cfccd6fae59d28954d9e38904fc2edbf7,2024-12-03,0x612858a87abde9eeae2d9217ccd739598cba368b21b134f06667d382f2a048de,Qm2qwgtVkFPPHd74fqUfhiAcFcsk8dtCEZHQjXUj4Aqtp2,BlockDAG,ERC-721,49.3344,0,standard,False,False,True,56043,Electric,Automatic,White,5,2,2,1,2023-12-08,2024-04-18,2024-12-03
145,0xfac8f46fa7dda55a29d060d3f02de1047f147a75,0x13cae5908c59e67a2817df1d3e249ab9427fcad4,Jaguar,XK,2014,SAJ141599423271,DE14 WRS,luxury,9990,25000,W1 8PT,Mayfair,high,2023-03-09,0x7b28cc06343c86a6df41d5eaa9ea7d930c698393095710e405d2948c8a296c4d,2024-03-14,0x1d9aa2112f23610687ea3dd783169709ba8819d61d5611d8a66df57cd40271ea,QmuxdDQo5eBcLGirtTNHztjnSjLXGf3uVLXrHgSDwhViLw,BlockDAG,ERC-721,84.899,3,standard,False,False,False,19277,Electric,Automatic,Grey,5,4,2,0,2023-06-21,2023-03-09,2024-03-14
146,0xc57be7f5bde73f2ebe1fe1fd3c05f81b12da7da0,0x996218fecf99e8c4c4554bb821bb0e1f887e3104,Mercedes,SL,2012,WDD123816485799,DE12 QEJ,luxury,11838,35000,SW3 7UM,Chelsea,high,2022-04-27,0xd34cdbef3218e0e3bf819788657cf19a91b60cc1b294443fe053a0fdf6b68682,2023-10-23,0x8955a0c2a469d5dc0be89d27cf2b452b1f7fd6e720801ca9943cff1c3be06d19,QmmZTkCQA4X3iHMUtCUY2VBTUjr7tsRhVuc7am7oUB1cMT,BlockDAG,ERC-721,84.88380000000001,4,standard,False,True,True,149371,Electric,Automatic,Red,4,1,2,0,2023-05-30,2022-04-27,2023-10-23
147,0xe69714724cf9561def1d5cecf9a496c778d719a1,0x413bd50f4c1b40d23b8736fc8af07e2c0fcf829c,Aston Martin,DBS,2015,SCFAB153206071006,CD15 TYI,luxury,36923,85000,N1 1VT,Islington,medium,2021-02-03,0xa5af467524cf439569e714e8060448e328bd536de33d98d15271edad9f536e1f,2023-03-06,0x58fdca15d7116e7017b470da351b120c7bed58959d6ad7ba3fe5ce5def645b8b,QmQ6DhqzzbCK1qcnzkJywXTENsmTMRfUvDE6gHBqupC9Nt,BlockDAG,ERC-721,82.6923,10,comprehensive,True,True,True,70920,Electric,Automatic,Grey,5,1,2,1,2024-11-11,2021-02-03,2023-03-06
148,0x6c5b90ce0388253d19d547133bba5a94f779776a,0xdbb452a85d8d3e40064de00777b978329629762d,Ferrari,F40,2024,ZFF245897267390,CD24 KYJ,supercar,184000,200000,CR0 8SD,Croydon,medium,2024-06-12,0xdbde764aa7ce2686351eecfc322dc074dc3c849c407878189afa6fe622315cd9,2023-10-05,0x43877827c084211f26b9b1f1b06643652582fdffc43cc048f6af9aa3d1be4c8e,QmHqRnU2CwJeV9uedGZUyvJ4EiAz8TpexEHAE1r2dX5Rab,BlockDAG,ERC-721,85.0,52,comprehensive,True,True,False,85513,Electric,Automatic,White,4,3,2,0,2024-12-11,2024-06-12,2023-10-05
149,0x53092a176094cf80a50133e3469d0308c2cc35d5,0x86412327acc8970b45d1f95a67ea5a58360971b6,Toyota,Corolla,2014,WBA147338860427,AB14 IUG,standard,3996,10000,W1 9RJ,Mayfair,high,2021-05-13,0x679e0add079e5af3265040445bc8d38a3fd968df50dda0e2b34b415ce2d76cf5,2024-08-29,0xd50d40d02dad4cf12c3d4e689c80a70f03511be2ebb1d3c6b98ae5c4890b7683,QmWDzd2pSnuEXtHGrhK8EnPLHcJWFbp9yTK6GScP4rWhEx,BlockDAG,ERC-721,50.8996,0,standard,True,False,False,13306,Petrol,Manual,Silver,5,1,2,0,2023-10-02,2021-05-13,2024-08-29
150,0xe69714728b7a45d7ca15037745872aad934e309b,0x3c20a466782dc10fbd7937ad64558d23f03fa19b,Aston Martin,DBS,2022,SCFAB228926402377,AB22 HWV,luxury,66188,85000,SW3 2UO,Chelsea,high,2023-05-30,0x0c90ed17714bb830e9d6b7bf7a938ea9309376042047e758236dcf12fb69c215,2024-01-31,0xfd77ada8644f31cd88c42f0c01e8d00541f9214629e555ec210d2ae48f2e4eaf,QmwDet8D6NfJi3YUxav1BPsK9ZrUwvVEnABCPhGLWahhVm,BlockDAG,ERC-721,89.2,23,comprehensive,True,True,True,21037,Electric,Automatic,Black,4,2,1,1,2024-06-06,2023-05-30,2024-01-31
151,0xbcb48dddbfc64710442d41bfd26491bb528b8b99,0xa5bbc6815fcd12951759e1202d2c87782847a678,BMW,X5,2011,WBA118217988848,CD11 KCT,premium,9335,30000,SW11 3CQ,Wandsworth,low,2021-06-13,0x0101989024fb1fee059c87a1ed7093c40043fad47bac2b91206e45ad3054a6d1,2024-03-03,0x1a9806fcd06fefd34deae07a9b562d5a72f9d23211c3bcdbb3cd6103f4f63ca8,QmGeke5j2mFpN4BwStr3S2da2tqSn1m2aWsEkoV9GrGXGK,BlockDAG,ERC-721,57.9335,1,standard,True,True,False,43086,Electric,Manual,Grey,4,4,2,0,2023-06-03,2021-06-13,2024-03-03
152,0x6c5b90ce847e712a7843e9e304a3a10c6f5f4790,0xbe519db6d3a32f71b7cd532348d74269e57e6403,Ferrari,F40,2019,ZFF191889597330,BC19 VHO,supercar,121271,200000,E1 9PR,Tower Hamlets,high,2020-12-15,0x438f19fb162829751166f4c44c922679671f54cbf8fb59ae90dbf3cb2f47d53f,2023-12-21,0xf7e4d88589ed3024f5f33ede026f0b5637370f4950742ec7c060934de02b66b8,QmRmYFA3tdjapQ4rb28oNJ7GARWWbrfAq7uwG3gVyFERXj,BlockDAG,ERC-721,92.5,44,comprehensive,False,True,True,54940,Petrol,Manual,Blue,2,5,1,1,2023-03-09,2020-12-15,2023-12-21
153,0xa9cebc93f76bf4d80946113cde655bc6759e8afc,0x85a5d1161ae6101bf0c1452663f483eedac30d43,Porsche,911,2014,WP0145667948899,BC14 NSB,sports,17983,45000,W1 4EW,Mayfair,high,2024-10-27,0xbd294337d37a6b9755f68ffb2b9405e2f0324fd87843e85b255e6cd0afd84c1b,2024-03-16,0x633cb04c19b0c170c2bb4cb82f5166b19a08bd663398d3c85cce0bdc489a9dd3,QmNtKuP9nAwBDUxKarxxkR4EmVZigevQYhxVfmJNtUreZG,BlockDAG,ERC-721,77.2983,6,standard,True,True,True,127042,Petrol,Manual,Silver,2,2,0,1,2023-04-28,2024-10-27,2024-03-16
154,0xbada04e2f844465a75585e30cffdf7b9776fcbb1,0x2e280cf1a9cd578b0eaf4430c2eec481ca1802b4,Volkswagen,Passat,2006,WBA064019230407,CD06 NNX,standard,3076,15000,EN1 6WL,Enfield,medium,2023-03-12,0x6e59b8a3c57a71daa1b25306a6c4d63bb787adb82db24f84a14300875c1827c5,2024-11-19,0x4cde3accc983ffda4b8f430e509fad9bc27e12c5fc47f32516084884f3f0fe60,QmHjc45ztPHoRH2AfcmStgbWym9tgZyyUnpfRTxsRf8qd6,BlockDAG,ERC-721,49.8076,0,standard,True,True,False,45522,Diesel,Manual,White,2,2,1,1,2023-06-09,2023-03-12,2024-11-19
155,0xe6971472ba33f7f4af2917de07515ab47a8735b1,0x30d932603080ac6ff22a12d1838c6e7611379b62,Aston Martin,DB5,2021,SCFAB212241506699,EF21 APP,luxury,35819,50000,E1 7MC,Tower Hamlets,high,2022-03-30,0x7b81b455c3bf1c13b8db7cb4008a9f8a3d96ed40083319f1b9a9001423ba6d3c,2024-04-25,0xd1627fcad04c0e62d0c2cbe3dba77d9a0df28513b23bd87d08315fe5f364431e,QmSL1z1iABdennsYiuCW2GzWZRBDdaGkdDMDgXnAH77w5e,BlockDAG,ERC-721,88.1819,12,comprehensive,True,True,True,48883,Hybrid,Automatic,Grey,5,2,1,0,2024-11-02,2022-03-30,2024-04-25
